model	group_size	method	task	status	batch	log	metric	value
qwen3-8b	64	olive	hellaswag	OK	32	20260602_111246_qwen3-8b_g64_olive_hellaswag.log	acc	0.5169
qwen3-8b	64	olive	hellaswag	OK	32	20260602_111246_qwen3-8b_g64_olive_hellaswag.log	acc_norm	0.6914
qwen3-8b	64	olive	piqa	OK	32	20260602_111246_qwen3-8b_g64_olive_piqa.log	acc	0.7329
qwen3-8b	64	olive	piqa	OK	32	20260602_111246_qwen3-8b_g64_olive_piqa.log	acc_norm	0.7427
qwen3-8b	64	olive	winogrande	OK	32	20260602_111246_qwen3-8b_g64_olive_winogrande.log	acc	0.6283
qwen3-8b	64	olive	arc_easy	OK	32	20260602_111246_qwen3-8b_g64_olive_arc_easy.log	acc	0.7635
qwen3-8b	64	olive	arc_easy	OK	32	20260602_111246_qwen3-8b_g64_olive_arc_easy.log	acc_norm	0.7281
qwen3-8b	64	olive	arc_challenge	OK	32	20260602_111246_qwen3-8b_g64_olive_arc_challenge.log	acc	0.4744
qwen3-8b	64	olive	arc_challenge	OK	32	20260602_111246_qwen3-8b_g64_olive_arc_challenge.log	acc_norm	0.4795
qwen3-8b	64	olive	boolq	OK	8	20260602_111246_qwen3-8b_g64_olive_boolq.log	acc	0.8239
qwen3-8b	64	ant	hellaswag	OK	32	20260602_111246_qwen3-8b_g64_ant_hellaswag.log	acc	0.5271
qwen3-8b	64	ant	hellaswag	OK	32	20260602_111246_qwen3-8b_g64_ant_hellaswag.log	acc_norm	0.7084
qwen3-8b	64	ant	piqa	OK	32	20260602_111246_qwen3-8b_g64_ant_piqa.log	acc	0.7405
qwen3-8b	64	ant	piqa	OK	32	20260602_111246_qwen3-8b_g64_ant_piqa.log	acc_norm	0.7454
qwen3-8b	64	ant	winogrande	OK	32	20260602_111246_qwen3-8b_g64_ant_winogrande.log	acc	0.6496
qwen3-8b	64	ant	arc_easy	OK	32	20260602_111246_qwen3-8b_g64_ant_arc_easy.log	acc	0.7875
qwen3-8b	64	ant	arc_easy	OK	32	20260602_111246_qwen3-8b_g64_ant_arc_easy.log	acc_norm	0.7597
qwen3-8b	64	ant	arc_challenge	OK	32	20260602_111246_qwen3-8b_g64_ant_arc_challenge.log	acc	0.4838
qwen3-8b	64	ant	arc_challenge	OK	32	20260602_111246_qwen3-8b_g64_ant_arc_challenge.log	acc_norm	0.5196
qwen3-8b	64	ant	boolq	OK	8	20260602_111246_qwen3-8b_g64_ant_boolq.log	acc	0.8538
qwen3-8b	64	mant	hellaswag	OK	32	20260602_111246_qwen3-8b_g64_mant_hellaswag.log	acc	0.5238
qwen3-8b	64	mant	hellaswag	OK	32	20260602_111246_qwen3-8b_g64_mant_hellaswag.log	acc_norm	0.7038
qwen3-8b	64	mant	piqa	OK	32	20260602_111246_qwen3-8b_g64_mant_piqa.log	acc	0.7443
qwen3-8b	64	mant	piqa	OK	32	20260602_111246_qwen3-8b_g64_mant_piqa.log	acc_norm	0.7530
qwen3-8b	64	mant	winogrande	OK	32	20260602_111246_qwen3-8b_g64_mant_winogrande.log	acc	0.6188
qwen3-8b	64	mant	arc_easy	OK	32	20260602_111246_qwen3-8b_g64_mant_arc_easy.log	acc	0.7875
qwen3-8b	64	mant	arc_easy	OK	32	20260602_111246_qwen3-8b_g64_mant_arc_easy.log	acc_norm	0.7441
qwen3-8b	64	mant	arc_challenge	OK	32	20260602_111246_qwen3-8b_g64_mant_arc_challenge.log	acc	0.4881
qwen3-8b	64	mant	arc_challenge	OK	32	20260602_111246_qwen3-8b_g64_mant_arc_challenge.log	acc_norm	0.5162
qwen3-8b	64	mant	boolq	OK	8	20260602_111246_qwen3-8b_g64_mant_boolq.log	acc	0.8404
qwen3-8b	64	meta-flint	hellaswag	OK	32	20260602_111246_qwen3-8b_g64_meta-flint_hellaswag.log	acc	0.5447
qwen3-8b	64	meta-flint	hellaswag	OK	32	20260602_111246_qwen3-8b_g64_meta-flint_hellaswag.log	acc_norm	0.7223
qwen3-8b	64	meta-flint	piqa	OK	32	20260602_111246_qwen3-8b_g64_meta-flint_piqa.log	acc	0.7590
qwen3-8b	64	meta-flint	piqa	OK	32	20260602_111246_qwen3-8b_g64_meta-flint_piqa.log	acc_norm	0.7737
qwen3-8b	64	meta-flint	winogrande	OK	32	20260602_111246_qwen3-8b_g64_meta-flint_winogrande.log	acc	0.6732
qwen3-8b	64	meta-flint	arc_easy	OK	32	20260602_111246_qwen3-8b_g64_meta-flint_arc_easy.log	acc	0.8072
qwen3-8b	64	meta-flint	arc_easy	OK	32	20260602_111246_qwen3-8b_g64_meta-flint_arc_easy.log	acc_norm	0.7866
